# alpha                     Rey                       CL                        CD                        Cm                       
        -2.6179938780E-01          1.0000000000E+03         -4.0250000000E-01          2.1605000000E-01         -6.6000000000E-03
        -2.6179938780E-01          5.5644444444E+05         -1.2058000000E+00          3.9970000000E-02         -5.1100000000E-02
        -2.6179938780E-01          1.1118888889E+06         -1.3338000000E+00          2.7610000000E-02         -4.6200000000E-02
        -2.6179938780E-01          1.6673333333E+06         -1.3972000000E+00          2.2990000000E-02         -4.1100000000E-02
        -2.6179938780E-01          2.2227777778E+06         -1.4356000000E+00          2.0470000000E-02         -3.6900000000E-02
        -2.6179938780E-01          2.7782222222E+06         -1.4534000000E+00          1.9380000000E-02         -3.4700000000E-02
        -2.6179938780E-01          3.3336666667E+06         -1.4754000000E+00          1.8330000000E-02         -3.1500000000E-02
        -2.6179938780E-01          3.8891111111E+06         -1.4869000000E+00          1.7590000000E-02         -2.9900000000E-02
        -2.6179938780E-01          4.4445555556E+06         -1.4947000000E+00          1.7060000000E-02         -2.8900000000E-02
        -2.6179938780E-01          5.0000000000E+06         -1.5001000000E+00          1.6690000000E-02         -2.8100000000E-02
        -2.4434609528E-01          1.0000000000E+03         -3.8250000000E-01          2.0473000000E-01         -1.0400000000E-02
        -2.4434609528E-01          5.5644444444E+05         -1.1863000000E+00          3.2400000000E-02         -4.8800000000E-02
        -2.4434609528E-01          1.1118888889E+06         -1.2948000000E+00          2.3300000000E-02         -4.0200000000E-02
        -2.4434609528E-01          1.6673333333E+06         -1.3466000000E+00          2.0080000000E-02         -3.3800000000E-02
        -2.4434609528E-01          2.2227777778E+06         -1.3701000000E+00          1.8560000000E-02         -3.0600000000E-02
        -2.4434609528E-01          2.7782222222E+06         -1.3862000000E+00          1.7370000000E-02         -2.8500000000E-02
        -2.4434609528E-01          3.3336666667E+06         -1.3958000000E+00          1.6640000000E-02         -2.7200000000E-02
        -2.4434609528E-01          3.8891111111E+06         -1.4025000000E+00          1.6120000000E-02         -2.6200000000E-02
        -2.4434609528E-01          4.4445555556E+06         -1.4095000000E+00          1.5570000000E-02         -2.5300000000E-02
        -2.4434609528E-01          5.0000000000E+06         -1.4150000000E+00          1.5140000000E-02         -2.4500000000E-02
        -2.2689280276E-01          1.0000000000E+03         -3.6110000000E-01          1.9339000000E-01         -1.4100000000E-02
        -2.2689280276E-01          5.5644444444E+05         -1.1446000000E+00          2.7810000000E-02         -4.4100000000E-02
        -2.2689280276E-01          1.1118888889E+06         -1.2352000000E+00          2.0930000000E-02         -3.3600000000E-02
        -2.2689280276E-01          1.6673333333E+06         -1.2688000000E+00          1.8370000000E-02         -2.9200000000E-02
        -2.2689280276E-01          2.2227777778E+06         -1.2886000000E+00          1.6740000000E-02         -2.6600000000E-02
        -2.2689280276E-01          2.7782222222E+06         -1.2979000000E+00          1.5930000000E-02         -2.5300000000E-02
        -2.2689280276E-01          3.3336666667E+06         -1.3065000000E+00          1.5190000000E-02         -2.4100000000E-02
        -2.2689280276E-01          3.8891111111E+06         -1.3128000000E+00          1.4640000000E-02         -2.3200000000E-02
        -2.2689280276E-01          4.4445555556E+06         -1.3174000000E+00          1.4240000000E-02         -2.2500000000E-02
        -2.2689280276E-01          5.0000000000E+06         -1.3208000000E+00          1.3940000000E-02         -2.2000000000E-02
        -2.0943951024E-01          1.0000000000E+03         -3.3800000000E-01          1.8211000000E-01         -1.7600000000E-02
        -2.0943951024E-01          5.5644444444E+05         -1.0954000000E+00          2.4200000000E-02         -3.7400000000E-02
        -2.0943951024E-01          1.1118888889E+06         -1.1609000000E+00          1.8640000000E-02         -2.8800000000E-02
        -2.0943951024E-01          1.6673333333E+06         -1.1843000000E+00          1.6510000000E-02         -2.5600000000E-02
        -2.0943951024E-01          2.2227777778E+06         -1.1969000000E+00          1.5320000000E-02         -2.3800000000E-02
        -2.0943951024E-01          2.7782222222E+06         -1.2051000000E+00          1.4520000000E-02         -2.2600000000E-02
        -2.0943951024E-01          3.3336666667E+06         -1.2115000000E+00          1.3900000000E-02         -2.1700000000E-02
        -2.0943951024E-01          3.8891111111E+06         -1.2158000000E+00          1.3480000000E-02         -2.1000000000E-02
        -2.0943951024E-01          4.4445555556E+06         -1.2191000000E+00          1.3150000000E-02         -2.0500000000E-02
        -2.0943951024E-01          5.0000000000E+06         -1.2227000000E+00          1.2800000000E-02         -2.0000000000E-02
        -1.9198621772E-01          1.0000000000E+03         -3.1350000000E-01          1.7132000000E-01         -2.0900000000E-02
